cadena,nom_producte,format,preu,preu_volum,info_prod,marca,direccio,latitud,longitud,ingredients,dades_nutri,instr
BonPreu,L'OR Càpsules de cafè descafeïnat,10 per paquet,3.40,,Càpsules de cafè descafeïnat L'Or Espresso en capsa de 10 càpsules,L'OR,"08019,, BARCELONA",41.41046934690756,41.41046934690756,INGREDIENTS: cafè molt de torrada natural descafeïnat.,Guardar en lloc fresc i sec.Utilitzar les càpsules per a preparar un cafè exprés. Preparar el cafè de manera habitual (veure instruccions d'ús de la cafetera).,NULL
BonPreu,L'OR Càpsules de cafè Fortissimo,10 per paquet,3.40,,Càpsules de cafè Fortissimo L'Or Espresso en capsa de 10 cápsules,L'OR,"08019,, BARCELONA",41.41046934690756,41.41046934690756,INGREDIENTS: cafè molt de torrada natural.,Guardar en lloc fresc i sec.Utilitzar les càpsules per a preparar un cafè exprés. Preparar el cafè de manera habitual (veure instruccions d'ús de la cafetera).,NULL
BonPreu,L'OR Càpsules de cafè Lungo Profondo,10 per paquet,3.40,,Càpsules de cafè Lungo Profondo L'Or Espresso en capsa de 10 cápsules,L'OR,"08019,, BARCELONA",41.41046934690756,41.41046934690756,INGREDIENTS: cafè molt de torrada natural.,Guardar en lloc fresc i sec.,NULL
BonPreu,L'OR Càpsules de cafè Onyx,10 per paquet,3.40,,Càpsules de cafè Onyx L'Or Espresso en capsa de 10 càpsules,L'OR,"08019,, BARCELONA",41.41046934690756,41.41046934690756,INGREDIENTS: Cafè molt de torrada natural.,Guardar en un lloc fresc i sec.,NULL
BonPreu,L'OR Càpsules de cafè Delizioso,10 per paquet,3.40,,Càpsules de cafè Delizioso L'Or Espresso en capsa de 10 cápsules,L'OR,"08019,, BARCELONA",41.41046934690756,41.41046934690756,INGREDIENTS: cafè molt de torrada natural.,Guardar en lloc fresc i sec.Preparar el cafè de manera habitual (veure instruccions d'ús de la cafetera).,NULL
BonPreu,L'OR Càpsules de cafè Forza,10 per paquet,3.40,,Càpsules de cafè Forza L'Or Espresso en capsa de 10 càpsules,L'OR,"08019,, BARCELONA",41.41046934690756,41.41046934690756,INGREDIENTS: cafè molt de torrada natural.,Guardar en lloc fresc i sec.Utilitzar les càpsules per a preparar un cafè exprés. Preparar el cafè de manera habitual (veure instruccions d'ús de la cafetera).,NULL
BonPreu,L'OR Càpsules de cafè Colòmbia,10 per paquet,3.40,,Càpsules de cafè Colòmbia L'Or Espresso en capsa de 10 càpsules,L'OR,"08019,, BARCELONA",41.41046934690756,41.41046934690756,INGREDIENTS: cafè molt de torrada natural.,Utilitzar la càpsula per preparar un cafè espresso (40 ml). Preparar el cafè de la forma habitual.,NULL
BonPreu,L'OR Càpsules de cafè Barista,10 per paquet,3.40,,Càpsules de cafè Barista L'Or Espresso en capsa de 10 càpsules,L'OR,"08019,, BARCELONA",41.41046934690756,41.41046934690756,INGREDIENTS: cafè molt de torrada natural.,Utilitzar la càpsula per preparar un cafè espresso (40 ml). Preparar el cafè de la forma habitual.,NULL
BonPreu,L'OR Càpsules de cafè Guatemala,10 per paquet,3.40,,Càpsules de cafè Guatemala L'Or Espresso en capsa de 10 càpsules,L'OR,"08019,, BARCELONA",41.41046934690756,41.41046934690756,INGREDIENTS: cafè molt de torrada natural.,Utilitzar la càpsula per preparar un cafè espresso (40 ml). Preparar el cafè de la forma habitual.,NULL
BonPreu,L'OR Càpsules de cafè India,10 per paquet,3.40,,Càpsules de cafè India L'Or Espresso en capsa de 10 càpsules,L'OR,"08019,, BARCELONA",41.41046934690756,41.41046934690756,INGREDIENTS: cafè mòlt de torrat natural.,Conservar en un lloc fresc i sec.,NULL
