data,subcategoria,nom_producte,format,preu,preu_volum,info_prod,marca,direccio,latitud,longitud,ingredients,dades_nutri,instr
20211021,Olives i confitats,BONPREU Olives gaspatxes,0.25kg,1.45,,Olives gaspatxes Bonpreu en pot de 250 grams,BONPREU,"08508, Les Masies de Voltregà",42.0267288,2.2347147,"INGREDIENTS: olives verdals, aigua, sal, vegetals en proporció variable (pebrot vermell, all, cebetes, cogombrets, bitxo i pastanaga) (conté sulfits), vinagre, acidulant (àcid cítric) i antioxidant (àcid ascòrbic).Conté sulfits."," per 100 g  Valor energètic  612 kJ / 149 kcal  Greixos  15 g  dels quals saturats  3 g  Hidrats de carboni  <0,5 g dels quals sucres  <0,5 g Fibra aimentària  2,5 g  Proteïnes  0,9 g  sal  4,5 g","Serviu-les ben fredes.Conserveu-les en un lloc fresc i sec. Un cop obert l'envàs, conserveu-les refrigerades i consumiu-les abans de 7 dies."
20211021,Olives i confitats,KÜHNE Cogombres agredolços,0.36kg,3.55,,Cogombres agredolços Kühne en pot de 360 grams,KÜHNE,"28045,, MADRID",40.397132227568356,-3.693387976352019,"INGREDIENTS: cogombres, vinagre d'alcohol, xarop de glucosa-fructosa, sal, sucre, anet, cebes, pebrot vermell, llavors de mostassa, aroma natural."," per 100 g  Valor energètic  126 kJ / 30 kcal  Greixos  0,2 g  dels quals saturats  0 g  Hidrats de carboni  4,9 g  dels quals sucres  4,7 g  Fibra alimentària  1,3 g  Proteïnes  0,9 g  Sal  1,6 g",Un cop obert conservar al frigorífic.
20211021,Plats preparats,LITORAL Favada asturiana,0.42kg,1.85,,Favada Litoral asturiana en llauna de 420 grams,LITORAL,"08950,, ESPLUGUES LLOBREGAT",41.37625546353726,2.0889331961600783,"INGREDIENTS: faves cuites (47,7%)(aigua, faves 19,8%), aigua, xoriço extra (5,9%)(magre, papada i cansalada viada fumada de porc, sal, pebre vermell, all), botifarró curat (5,5%)(cansalada, papada, cansalada viada fumada, sang i magre de porc, ceba, pebre vermell, sal, orenga), cansalada viada fumada (5,0%)(cansalada viada de porc, sal, fum natural), llard de porc ibèric, sal."," Per 100 gr  Valor energètic  592 kJ / 142 kcal  Greixos  8,3 g  dels quals saturats  3,1 g  Hidrats de carboni  7,9 g  dels quals sucres  0,7 g  Proteïnes  6,4 g  sal  0,87 g",Escalfar i consumir.
20211021,Plats preparats,SOUBRY Fideus d'ou instantànis,0.25kg,1.35,,Fideus d'ou instantànis  Soubry en paquet de 250 grams,SOUBRY,"08036,, BARCELONA",41.39044394719101,2.151508801791804,"INGREDIENTS: farina de blat, ous de gallines criades a terra (15%), sal, regulador de l'acidesa: carbonat de potassi.Pot contenir soja, llet i sèsam."," per 100 g Valor energètic  1517 kJ / 358 kcal Greixos  3,0 g dels quals saturats  0,7 g Hidrats de carboni  69 g dels quals sucres  2,3 g Fibra alimentària  2,5 g Proteïnes  12,5 g Sal  0,92 g",Conservar en lloc fresc i sec.
20211021,Plats preparats,MAGGI Fideus xili,0.12kg,1.52,,Fideus instantanis Maggi Yakisoba Xili en paquet de 120 grams,MAGGI,"08950,, ESPLUGUES LLOBREGAT",41.37625546353726,2.0889331961600783,"INGREDIENTS: fideus fregits (76,7%): farina de blat, greix de palma, sal, potenciador sabor (E621), all, corrector acidesa (E501), estabilitzant (E452), cúrcuma. Salsa (12,5%): oli gira-sol, sucre, sal, colorant (E150c)(conté gluten), tomàquet en pols, potenciador sabor (E621), corrector acidesa (àcid cítric), oli de sèsam, salsa soja en pols (conté gluten), maltodextrina, edulcorant (sacarina sòdica). Hortalisses deshidratades (7,1%): col, pastanaga, cibulet. Condiment (3,7%): potenciadors sabor (E621, E627, E631), sucre, espècies (bitxo, gingebre, pebre negre, llorer, canyella, llavors d'anet), hortalisses deshidratades (col, all, ceba, anet), salsa soja en pols (conté gluten), greix de palma, aroma (conté llet, gluten), midó de blat de moro, extracte de llevat, colorant (E150c)(conté gluten), corrector acidesa (àcid cítric), sal.Pot contenir ou, api i mostassa."," per 100 g  Valor energètic  1700 kJ / 406 kcal  Greixos  20,9 g  dels quals saturats  8,7 g  Hidrats de carboni  47,5 g  dels quals sucres  3,8 g  Proteïnes  6,7 g  Sal  2,2 g","Al foc: posar en una paella 1/4 de L. d'aigua, el contingut dels sobrets i escalfar. Afegir els fideus a la paella i portar-ho a ebullició. Coure durant 3 minuts o fins que la pasta hagi absorbit el brou. Remenar els fideus, separant-los amb ajuda d'una forquilla.Al microones: posar en un recipient 1/4 de L. d'aigua, el contingut dels sobrets i escalfar 1 min. a potència màxima. Afegir els fideus i escalfar-ho, destapat, 1 minut més. Remenar els fideus amb una forquilla i coure-ho 2 minuts. Conservar en un lloc fresc i sec."
20211021,Plats preparats,CASA MAS Ensalada russa,0.22kg,2.29,,Ensalada russa Casa Mas en safata d'una ració de 220 grams,CASA MAS,"08183,, CASTELLTERÇOL",41.7503071,2.1230793,"INGREDIENTS: ensaladilla cuita (patata, pastanaga, mongeta verda i pèsols), maionesa (oli de soja, aigua, rovell dou, vinagre, sucre, sal, midó modificat de blat de moro, aroma, suc de llimona concentrada, antioxidant: EDTA disòdic i càlcic; colorants: extracte de pimentó i carotens), ou dur, tonyina 8% (tonyina, oli de gira-sol i sal), aigua, sal i conservants: sorbat potàssic i benzoat sòdic.Pot contenir gluten, ou, llet, soja, peix, fruits de closca, api, mostassa, sèsam, crustacis, mol·luscs i sulfits."," per 100 g  Valor energètic  510 kJ / 123 kcal  Greixos  9,0 g  dels quals saturats  2,2 g  Hidrats de carboni  6,2 g  dels quals sucres  0,7 g  Proteïnes  4,2 g  Sal  1,21 g","Treure de la nevera 10 minuts abans de consumir.Conservar entre 0º i 4ºC. Un cop obert, consumir en 48 hores.Admet congelació fins a 10 dies abans de la seva caducitat. Consumir abans de 48 hores una vegada descongelat. Per a una correcta descongelació, posar la safata a la nevera fins que el producte estigui descongelat."
20211021,Plats preparats,SOUBRY Fideus xinesos,0.25kg,1.30,,Fideus Soubry xinesos en bossa de 250 grams,SOUBRY,"08036,, BARCELONA",41.39044394719101,2.151508801791804,"INGREDIENTS: farina de blat, sal, regulador de l'acidesa: carbonat de potassi. Pot contenir ou, soja, llet, sèsam."," Per 100 gr  Valor energètic  1478 kJ / 349 kcal  Greixos  1,5 g  dels quals saturats  0,1 g  Hidrats de carboni  72 g  dels quals sucres  2,3 g  Fibra alimentària  2,5 g  Proteïnes  10,5 g  sal  0,96 g",Conservar en lloc sec i preferentment fresc.
20211021,Plats preparats,AL'FEZ Falafel,0.15kg,2.45,,Falafel mix de Al'fez en capsa de 150 grams,AL'FEZ,"08036,, BARCELONA",41.39044394719101,2.151508801791804,"INGREDIENTS: farina de cigrons (54%), pa ratllat, condiment (bicarbonat de sodi, farina de blat, comí, galeta (blat), all en pols, sal, julivert, extracte de llevat en pols, dextrosa, coriandre, cúrcuma, fenigrec, mostassa, comí, pebre, sal, gingebre, cardamom, extracte d'espècies), ceba (13%) i julivert.Pot contenir nous"," per 100 g  Valor energètic  982 kJ / 235 kcal  Greixos  13,8 g  dels quals saturats  0,5 g  Hidrats de Carboni  26,3 g dels quals sucres  2,9 g  Fibra Alimentària  8,8 g  Proteïnes  7,1 g  Sal  1,56 g",Conservar en un lloc fresc i sec.  Un cop obert conservar en un recipient hermètic i consumir en el termini de 15 dies.
20211021,Plats preparats,CARRETILLA Amanida de pasta i tonyina,0.24kg,1.89,,Amanida Carretilla de pasta i tonyina en envàs de 240 grams,CARRETILLA,"31330,, VILLAFRANCA",42.2774311,-1.7471458,"INGREDIENTS: pasta cuita (20%) (gluten i ou) (sèmola de blat, clara d'ou, tomàquet i espinacs), blat de moro, pastanaga, pebrot verd, ceba, tonyina (6%) (peix), oliva verda, oli de gira-sol, vinagre de vi, oli d'oliva, sal, sucre i antioxidants : àcid ascòrbic i EDTA disódico- càlcic. Pot contenir crustacis, soja, llet i derivats, api, mol·luscs i mostassa."," per 100 g  Valor energètic  573 kJ / 138 kcal  Greixos  8,2 g  saturats  1,2 g  Hidrats de carboni  11,5 g  sucres  2,8 g  Fibra alimentària  1,8 g  Proteïnes  3,8 g  Sal  1,05 g",Retirar el cartró i el plàstic de protecció. Barrejar i menjar.Mantenir en lloc fresc i sec. No necessita fred per a la seva conservació.
20211021,Plats preparats,MAGGI Fideus orientals classic,0.12kg,1.52,,Fideus instantanis Maggi Yakisoba classic en paquet de 120 grams,MAGGI,"08950,, ESPLUGUES LLOBREGAT",41.37625546353726,2.0889331961600783,"INGREDIENTS: fideus fregits (76,7%): farina de blat, greix de palma, sal, potenciador del sabor (E621), all, corrector acidesa (E501), estabilitzant (E452), cúrcuma. Salsa (12,5%): oli gira-sol, sucre, sal, colorant (E150c) (conté gluten), tomàquet en pols, potenciador gust (E621), corrector acidesa (àcid cítric), oli d' sèsam, salsa de soja en pols (conté gluten), maltodextrina, edulcorant (sacarina sòdica). Hortalisses deshidratades (7,1%): col, pastanaga, cibulet. Condiment (3,7%): potenciadors sabor (E621, E627, E631), sucre, midó de blat de moro, hortalisses deshidratades (col, all, ceba, fonoll), salsa soja en pols (conté gluten), espècies (bitxo, gingebre, pebre negre, llorer, canyella, llavors de fonoll), greix de palma, aroma (conté llet i gluten), extracte de llevat, colorant (E150c) (conté gluten), corrector acidesa (àcid cítric), sal. Pot contenir ou, api i mostassa ."," per 100 g  Valor energètic  1698 kJ / 406 kcal  Greixos  20,8 g  dels quals saturats  8,7 g  Hidrats de carboni  47,6 g  dels quals sucres  3,8 g  Fibra alimentària  0,6 g  Proteïnes  6,7 g  Sal  2,2 g","Al foc: posar en una paella 1/4 de L. d'aigua, el contingut dels sobrets i escalfar. Afegir els fideus a la paella i portar-ho a ebullició. Coure durant 3 minuts o fins que la pasta hagi absorbit el brou. Remenar els fideus, separant-los amb ajuda d'una forquilla.Al microones: posar en un recipient adequat 1/4 de L. d'aigua, el contingut dels sobrets i escalfar 1 min. a potència màxima. Afegir els fideus i escalfar-ho, destapat, 1 min. més. Remenar els fideus amb una forquilla i coure-ho 2 minuts. Conservar en lloc fresc i sec."
