data,subcategoria,nom_producte,format,preu_euros,preu_volum,info_prod,marca,direccio,latitud,longitud,ingredients,dades_nutri,instr
20211022,Begudes,BONPREU Beguda de civada amb calci,1L,1.00,,Beguda de civada amb calci Bonpreu en cartró d'1 litre,BONPREU,"08508,, Les Masies de Voltregà",42.0267288,2.2347147,"INGREDIENTS: aigua, avena (14%), carbonat càlcic, goma gellan, vitamina D.","per 100 g:Valors energètics  188 kJ / 45 kcalGreixos  0,8 gdels quals saturats  0,2 gHidrats de carboni  7,7 gdels quals sucres  5 gProteïnes  1,3 gSal  0,04 g",Conservar a temperatura ambient apartat dels rajos directes del sol.Un cop obert conservar al frigorífic i consumir abans de 3-4 dies.Sacsejar abans de prendre.Apte com a ingredient de cuina.
20211022,Begudes,BONPREU Beguda d'ametlles UHT,1L,1.35,,Beguda d'ametlles UHT Bonpreu en cartró d'1 litre,BONPREU,"08508, Les Masies de Voltregà",42.0267288,2.2347147,"INGREDIENTS: aigua, sucre, ametlles (2%), fostat tricàlcic, estabilitzant (goma gellan), sal marina, emulgent (lecitina de gira-sol), aroma i vitamina D.Pot contenir soja i altres fruits de closca.","per 100 g:Valors energètics  105 kJ / 25 kcalGreixos  1,0 gdels quals saturats  0,1 gHidrats de carboni  3,6 gdels quals sucres  3,2 gProteïnes  <0,5 gSal  0,06 g","Conserveu-la en un lloc fresc i sec, allunyada dels raigs directe del sol."
20211022,Begudes,ALPRO Beguda de cafè amb ametlla,0.2L,1.49,,Beguda de cafè amb ametlla Alpro en got de 200 ml,ALPRO,"08029,, BARCELONA",41.38675955684482,2.146154513366123,"INGREDIENTS: cafè (53%) (aigua, extracte de cafè*), aigua, sucre, ametlla (1,5%), fibra de l'arrel de xicoira, correctors d'acidesa (fosfats de potassi), sal marina, aromes, estabilitzadors (goma garrofí, goma gellan).Pot contenir soja i fruits de closca (no cacauets).","per 100 g:Valors energètics  129 kJ / 31 kcalGreixos  0,8 gdels quals saturats  0,1 gHidrats de carboni  4,9 gdels quals sucres  2,2 gProteïnes  0,4 gSal  0,14 g",Conservar en fred a màxim 7°C.
20211022,Begudes,ALPRO Beguda de cafè amb soja i caramel,0.2L,1.49,,Beguda de cafè amb soja i caramel Alpro en got de 200 ml,ALPRO,"08029,, BARCELONA",41.38675955684482,2.146154513366123,"INGREDIENTS: cafè (53%) (aigua, extracte de cafè*), base de soja (aigua, faves de soja escrostonades (3,9%)), sucre, sucre caramelitzat (2,5%), fibra de l'arrel de xicoira, correctors d'acidesa (fosfats de potassi), sal marina, estabilitzants (goma garrofí, goma gellan), aroma de caramel, aroma natural.Pot contenir fruits de closca (no cacauets).","per 100 g:Valors energètics  149 kJ / 36 kcalGreixos  0,8 gdels quals saturats  0,1 gHidrats de carboni  4,9 gdels quals sucres  4,9 gProteïnes  1,5 gSal  0,14 g",Conservar en fred a màxim 7°C.
20211022,Begudes,KAIKU Producte vegetal d'ametlla sense sucre,0.38kg,2.09,,Producte vegetal d'ametlla sense sucre Kaiku en terrina de 380 grams,KAIKU,"20009,, SAN SEBASTIAN",43.3224219,-1.9838889,"INGREDIENTS: aigua, ametlla (7%), midó modificat, espessidor (pectina), aroma i ferments.Pot contenir traces de llet i altres fruits de closca.","per 100 g:Valors energètics  252 kJ / 61 kcalGreixos  3,8 gdels quals saturats  0,3 gHidrats de carboni  4,3 gdels quals sucres  0,6 gProteïnes  1,6 gSal  0,02 g",Conservar en fred entre 1º i 8ºC.
20211022,Begudes,PROVAMEL Beguda d'ametlla sense sucre ecològica,1L,2.95,,Beguda d'ametlla Provamel ecològica sense sucre en cartró d'1 litre,PROVAMEL,"08038,, BARCELONA",41.35909021375264,2.143441331168544,"INGREDIENTS: aigua, ametlla* (5%), sal marina, estabilitzant (goma gellan).*Procedents d'agricultura ecològica.Pot contenir: altres fruits amb closca (no cacauets).","per 100 g:Valors energètics  114 kJ / 28 kcalGreixos  2,5 gdels quals saturats  0,2 gHidrats de carboni  0 gdels quals sucres  0 gProteïnes  1 gSal  0,09 g",Sacsejar abans de consumir.
20211022,Begudes,BONPREU Beguda de civada ecològica 6x1 L,6L,8.94,,Beguda de civada ecològica Bonpreu amb lot de 6 cartrons d'1 litre,BONPREU,"08508, Les Masies de Voltregà",42.0267288,2.2347147,"INGREDIENTS: aigua, civada* (14%), alga Lithothamnium calcareum i estabilitzant (goma gellan).Pot contenir soja i fruits de closca.*Procedent d'agricultura ecològica.","per 100 g:Valors energètics  199 kJ / 47 kcalGreixos  0,8 gdels quals saturats  0,2 gHidrats de carboni  8,5 gdels quals sucres  5,1 gProteïnes  1,2 gFibra alimentària  0,6 gSal  0,06 g","Agiteu-la bans de servir-la.El consum del producte ha de realitzar-se seguint una dieta variada i equilibrada i un estil de vida saludable.Conserveu-la en un lloc fresc i sec.Un cop obert l'envàs, conserveu-la al frigorífic i consumiu-la abans de 3 dies."
20211022,Frescos,BONNATUR Pernil cuit extra,0.14kg,1.99,,Pernil cuit extra Bonnatur Argal en envàs de 140 grams,BONNATUR,"25242,, MIRALCAMP",41.6049685,0.8801705,"INGREDIENTS: pernil de porc desossat, aigua, sal, sucre, aromes, maltodextrina, antioxidants (E-316, E-331iii) i conservador (E-250)."," per 100 g  Valor energètic  434 kJ / 103 kcal  Greixos  3 g  dels quals saturats  1,2 g  Hidrats de carboni  0,5 g  dels quals sucres  0,5 g  Proteïnes  18,5 g  Sal  2 g",Conservar entre 0ºC i 5ºC.
20211022,Frescos,BONNATUR Pit d'indiot,0.13kg,1.99,,Pit d'indiot Bonnatur Argal en envàs de 130 grams,BONNATUR,"25242,, MIRALCAMP",41.6049685,0.8801705,"INGREDIENTS: pit d'indiot (70%), aigua, sal, proteïna de soja, maltodextrina, aromes, estabilitzants (E-407, E-451i), antioxidant (E-316) i conservador (E-250)."," per 100 g  Valor energètic  307 kJ / 73 kcal  Greixos  1 g  dels quals saturats  0,3 g  Hidrats de carboni  0,4 g  dels quals sucres  0,4 g  Proteïnes  15,5 g  Sal  2,25 g",Conservar entre 0ºC i 5ºC.
20211022,Frescos,SCHARA Salsitxes frankfurt suaus,0.155kg,2.49,,Salsitxes frankfurt suaus Schara en envàs de 4 unitats,SCHARA,"08040,, BARCELONA",41.33131387464597,2.1372326021491044,"INGREDIENTS: carn de porc 87% (origen Espanya), aigua, sal, espècies, estabilitzador: di i polifosfats, dextrosa, antioxidant: àcid ascòrbic i conservador: nitrit sòdic.","per 100 g:Valors energètics  1081 kJ / 258 kcalGreixos  22,28 gdels quals saturats  8,08 gHidrats de carboni  0,09 gdels quals sucres  0,09 gProteïnes  13,94 gSal  1,85 g",Consum previ escalfament. Cuinar abans de consumir.Es recomana escalfar-les a la graella o escaldar 5-6 minuts en aigua molt calenta.Conservar refrigerat entre 0º i 5ºC. Un cop obert consumir en 24 hores.
